mode,time_s,in_burst,cumulative_pdr_mean,cumulative_pdr_std,window_pdr_mean,window_pdr_std,queue_depth_mean,queue_depth_std,cache_hit_rate_mean,cache_hit_rate_std
baseline,10,False,0.196,0.392,0.2,0.4,1.8,0.4,0.0,0.0
baseline,20,False,0.098,0.196,0.0,0.0,2.0,0.0,0.0,0.0
baseline,30,False,0.13066666666666665,0.1600333298618343,0.196,0.392,2.0,0.0,0.0,0.0
baseline,40,False,0.098,0.12002499739637572,0.0,0.0,2.0,0.0,0.0,0.0
baseline,50,False,0.0784,0.09601999791710059,0.0,0.0,2.0,0.0,0.0,0.0
baseline,60,False,0.09866666666666665,0.08057019024152515,0.19607843137254902,0.39215686274509803,1.8,0.4,0.0,0.0
baseline,70,False,0.11257142857142859,0.056296590682287144,0.196,0.392,2.0,0.0,0.0,0.0
baseline,80,False,0.0985,0.04925951684700125,0.0,0.0,2.0,0.0,0.0,0.0
baseline,90,False,0.08755555555555555,0.04378623719733444,0.0,0.0,2.0,0.0,0.0,0.0
baseline,100,False,0.0988,0.000979795897113272,0.19607843137254902,0.39215686274509803,1.8,0.4,0.0,0.0
baseline,110,False,0.08981818181818182,0.0008907235428302455,0.0,0.0,2.0,0.0,0.0,0.0
baseline,120,False,0.08233333333333333,0.0008164965809277245,0.0,0.0,2.0,0.0,0.0,0.0
baseline,130,False,0.09138461538461538,0.031236452684825805,0.19607843137254902,0.39215686274509803,1.8,0.4,0.0,0.0
baseline,140,False,0.08485714285714285,0.029005277493052522,0.0,0.0,2.0,0.0,0.0,0.0
baseline,150,False,0.0928,0.03309890901189612,0.200078431372549,0.3902337473195998,1.8,0.4,0.0,0.0
baseline,160,False,0.0995,0.050377326249018015,0.19607843137254902,0.39215686274509803,1.8,0.4,0.0,0.0
baseline,170,False,0.09364705882352942,0.04741395411672284,0.0,0.0,2.0,0.0,0.0,0.0
baseline,180,False,0.08844444444444444,0.04477984555468268,0.0,0.0,2.0,0.0,0.0,0.0
baseline,190,False,0.08378947368421052,0.04242301157812043,0.0,0.0,2.0,0.0,0.0,0.0
baseline,200,False,0.0796,0.040301860999214414,0.0,0.0,2.0,0.0,0.0,0.0
baseline,210,False,0.08533333333333333,0.035790268379233985,0.19607843137254902,0.39215686274509803,1.8,0.4,0.0,0.0
baseline,220,False,0.08145454545454546,0.03416343799835971,0.0,0.0,2.0,0.0,0.0,0.0
baseline,230,False,0.07791304347826086,0.03267807112886582,0.0,0.0,2.0,0.0,0.0,0.0
baseline,240,False,0.07483333333333334,0.0315849823668007,0.004,0.008,2.0,0.0,0.0,0.0
baseline,250,False,0.07184,0.030321583072128674,0.0,0.0,2.0,0.0,0.0,0.0
baseline,260,False,0.06923076923076923,0.02940434295500215,0.004,0.008,2.0,0.0,0.0,0.0
baseline,270,False,0.06666666666666667,0.028315293215927996,0.0,0.0,2.0,0.0,0.0,0.0
baseline,280,False,0.06428571428571428,0.027304032743930565,0.0,0.0,2.0,0.0,0.0,0.0
baseline,290,False,0.06206896551724138,0.02636251437345021,0.0,0.0,2.0,0.0,0.0,0.0
baseline,300,True,0.06,0.0254837638943352,0.0,0.0,2.0,0.0,0.0,0.0
baseline,310,True,0.058545454545454546,0.025384029309495126,0.0445945945945946,0.0891891891891892,4.0,0.0,0.0,0.0
baseline,320,True,0.05733333333333333,0.023103096901059675,0.044,0.05392999577641783,4.0,0.0,0.0,0.0
baseline,330,True,0.05302564102564102,0.02131902873475464,0.0013333333333333335,0.002666666666666667,4.0,0.0,0.0,0.0
baseline,340,True,0.055714285714285716,0.019686891479995635,0.09021633554083885,0.08428988296976009,3.6,0.4898979485566356,0.0,0.0
baseline,350,True,0.06666666666666667,0.025402634256322585,0.22102214913255405,0.2787437084019846,3.8,0.39999999999999997,0.0,0.0
baseline,360,False,0.06941666666666667,0.01857903537742354,0.11051655629139072,0.1669895558592008,3.6,0.4898979485566356,0.0,0.0
baseline,370,False,0.07624489795918368,0.020820967869923813,0.38846153846153847,0.4758051413597574,1.6,0.4898979485566356,0.0,0.0
baseline,380,False,0.07472,0.020404548512525336,0.0,0.0,2.0,0.0,0.0,0.0
baseline,390,False,0.07325490196078431,0.020004459326005235,0.0,0.0,2.0,0.0,0.0,0.0
baseline,400,False,0.07184615384615385,0.019619758185120517,0.0,0.0,2.0,0.0,0.0,0.0
baseline,410,False,0.07426415094339624,0.015123368313141206,0.19607843137254902,0.39215686274509803,1.8,0.4,0.0,0.0
baseline,420,False,0.07288888888888889,0.014843305936971925,0.0,0.0,2.0,0.0,0.0,0.0
baseline,430,False,0.07156363636363636,0.014573427647208797,0.0,0.0,2.0,0.0,0.0,0.0
baseline,440,False,0.07028571428571428,0.014313187867794355,0.0,0.0,2.0,0.0,0.0,0.0
baseline,450,False,0.07249122807017544,0.01829763165275012,0.196,0.392,2.0,0.0,0.0,0.0
baseline,460,False,0.0713103448275862,0.018083437216021153,0.004,0.008,2.0,0.0,0.0,0.0
baseline,470,False,0.07010169491525423,0.017776938280156383,0.0,0.0,2.0,0.0,0.0,0.0
baseline,480,False,0.06893333333333333,0.01748065597548711,0.0,0.0,2.0,0.0,0.0,0.0
baseline,490,False,0.06780327868852459,0.017194087844741423,0.0,0.0,2.0,0.0,0.0,0.0
baseline,500,False,0.06670967741935484,0.016916763847245594,0.0,0.0,2.0,0.0,0.0,0.0
baseline,510,False,0.06882539682539682,0.015403075151146507,0.19607843137254902,0.39215686274509803,1.8,0.4,0.0,0.0
baseline,520,False,0.077125,0.012524039384320059,0.588235294117647,0.48029210642807413,1.4,0.4898979485566356,0.0,0.0
baseline,530,False,0.07593846153846154,0.01233136185533052,0.0,0.0,2.0,0.0,0.0,0.0
baseline,540,False,0.07478787878787878,0.012144523039340665,0.0,0.0,2.0,0.0,0.0,0.0
baseline,550,False,0.07367164179104477,0.011963261501440057,0.0,0.0,2.0,0.0,0.0,0.0
baseline,560,False,0.08141176470588235,0.013343220094540503,0.588235294117647,0.48029210642807413,1.4,0.4898979485566356,0.0,0.0
baseline,570,False,0.08023188405797102,0.013149840093170353,0.0,0.0,2.0,0.0,0.0,0.0
baseline,580,False,0.07908571428571429,0.012961985234696488,0.0,0.0,2.0,0.0,0.0,0.0
baseline,590,False,0.0807887323943662,0.01777587549609995,0.19607843137254902,0.39215686274509803,1.8,0.4,0.0,0.0
baseline,600,False,0.07966666666666666,0.017528988336431895,0.0,0.0,2.0,0.0,0.0,0.0
quantum,10,False,0.9800000000000001,1.1102230246251565e-16,1.0,0.0,1.0,0.0,0.0,0.0
quantum,20,False,0.99,0.0,1.0,0.0,1.0,0.0,0.0,0.0
quantum,30,False,0.9933333333333334,1.1102230246251565e-16,1.0,0.0,1.0,0.0,0.3333333333333333,0.0
quantum,40,False,0.9949999999999999,1.1102230246251565e-16,1.0,0.0,1.0,0.0,0.5,0.0
quantum,50,False,0.9960000000000001,1.1102230246251565e-16,1.0,0.0,1.0,0.0,0.6,0.0
quantum,60,False,0.9966666666666667,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0
quantum,70,False,0.9971428571428571,0.0,1.0,0.0,1.0,0.0,0.7142857142857143,0.0
quantum,80,False,0.9975000000000002,1.1102230246251565e-16,1.0,0.0,1.0,0.0,0.75,0.0
quantum,90,False,0.9977777777777778,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0
quantum,100,False,0.998,0.0,1.0,0.0,1.0,0.0,0.7,0.0
quantum,110,False,0.9981818181818183,1.1102230246251565e-16,1.0,0.0,1.0,0.0,0.6363636363636364,0.0
quantum,120,False,0.9983333333333333,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0
quantum,130,False,0.9984615384615385,0.0,1.0,0.0,1.0,0.0,0.6923076923076923,0.0
quantum,140,False,0.9985714285714286,0.0,1.0,0.0,1.0,0.0,0.6428571428571429,0.0
quantum,150,False,0.9986666666666666,1.1102230246251565e-16,1.0,0.0,1.0,0.0,0.6666666666666666,0.0
quantum,160,False,0.99875,0.0,1.0,0.0,1.0,0.0,0.625,0.0
quantum,170,False,0.9870588235294118,0.0,0.8163265306122449,0.0,2.0,0.0,0.5882352941176471,0.0
quantum,180,False,0.9322222222222221,1.1102230246251565e-16,0.0,0.0,2.0,0.0,0.5555555555555556,0.0
quantum,190,False,0.883157894736842,1.1102230246251565e-16,0.0,0.0,2.0,0.0,0.5789473684210527,0.0
quantum,200,False,0.8390000000000001,1.1102230246251565e-16,0.0,0.0,2.0,0.0,0.55,0.0
quantum,210,False,0.799047619047619,0.0,0.0,0.0,2.0,0.0,0.5714285714285714,0.0
quantum,220,False,0.7627272727272727,0.0,0.0,0.0,2.0,0.0,0.5909090909090909,0.0
quantum,230,False,0.7295652173913043,0.0,0.0,0.0,2.0,0.0,0.6086956521739131,0.0
quantum,240,False,0.6991666666666667,0.0,0.0,0.0,2.0,0.0,0.625,0.0
quantum,250,False,0.6712,0.0,0.0,0.0,2.0,0.0,0.64,0.0
quantum,260,False,0.6453846153846153,0.0,0.0,0.0,2.0,0.0,0.6538461538461539,0.0
quantum,270,False,0.6214814814814815,0.0,0.0,0.0,2.0,0.0,0.6666666666666666,0.0
quantum,280,False,0.5992857142857143,0.0,0.0,0.0,2.0,0.0,0.6785714285714286,0.0
quantum,290,False,0.5786206896551724,0.0,0.0,0.0,2.0,0.0,0.6896551724137931,0.0
quantum,300,True,0.5593333333333333,0.0,0.0,0.0,2.0,0.0,0.7,0.0
quantum,310,True,0.5629090909090909,0.005047433409371375,0.5994093959731543,0.05493207135638199,2.2,0.39999999999999997,0.7096774193548387,0.0
quantum,320,True,0.5931111111111111,0.0070763037013736275,0.925196734669689,0.0530349031448132,2.2,0.7483314773547882,0.6875,0.0
quantum,330,True,0.6144615384615385,0.006974358974358985,0.8677392128971076,0.08134641554933252,1.8,0.7483314773547883,0.696969696969697,0.0
quantum,340,True,0.6312380952380952,0.010582148147253978,0.8459436918443938,0.08895982530615222,1.2,0.4,0.7058823529411765,0.0
quantum,350,True,0.6453333333333333,0.009918183824187295,0.8444573840919457,0.08779742492608668,1.6,0.8,0.7142857142857143,0.0
quantum,360,False,0.6674166666666667,0.009095939264919861,0.9973508771929824,0.0032446181497241323,1.4,0.4898979485566356,0.6944444444444444,0.0
quantum,370,False,0.6743673469387754,0.009058650121522361,1.0,0.0,1.0,0.0,0.6756756756756757,0.0
quantum,380,False,0.6808799999999999,0.008877477119091903,1.0,0.0,1.0,0.0,0.6842105263157895,0.0
quantum,390,False,0.6871372549019608,0.00870340894028615,1.0,0.0,1.0,0.0,0.6666666666666666,0.0
quantum,400,False,0.6931538461538461,0.008536035691434511,1.0,0.0,1.0,0.0,0.675,0.0
quantum,410,False,0.6989433962264151,0.00837497841423762,1.0,0.0,1.0,0.0,0.6585365853658537,0.0
quantum,420,False,0.7045185185185185,0.008219886221381395,1.0,0.0,1.0,0.0,0.6666666666666666,0.0
quantum,430,False,0.7098909090909091,0.00807043374462899,1.0,0.0,1.0,0.0,0.6511627906976745,0.0
quantum,440,False,0.7150714285714286,0.00792631885633203,1.0,0.0,1.0,0.0,0.6590909090909091,0.0
quantum,450,False,0.7200701754385965,0.007787260630782331,1.0,0.0,1.0,0.0,0.6666666666666666,0.0
quantum,460,False,0.7248965517241379,0.007652997516458528,1.0,0.0,1.0,0.0,0.6521739130434783,0.0
quantum,470,False,0.7295593220338983,0.00752328569414566,1.0,0.0,1.0,0.0,0.6382978723404256,0.0
quantum,480,False,0.7340666666666666,0.0073978975992432285,1.0,0.0,1.0,0.0,0.6458333333333334,0.0
quantum,490,False,0.7384262295081967,0.007276620589419551,1.0,0.0,1.0,0.0,0.6530612244897959,0.0
quantum,500,False,0.7426451612903227,0.007159255741203132,1.0,0.0,1.0,0.0,0.66,0.0
quantum,510,False,0.7467301587301587,0.007045616761184058,1.0,0.0,1.0,0.0,0.6666666666666666,0.0
quantum,520,False,0.7506875,0.0069355289992905494,1.0,0.0,1.0,0.0,0.6730769230769231,0.0
quantum,530,False,0.754523076923077,0.006828828553147593,1.0,0.0,1.0,0.0,0.6792452830188679,0.0
quantum,540,False,0.7582424242424242,0.006725361453857478,1.0,0.0,1.0,0.0,0.6851851851851852,0.0
quantum,550,False,0.7618507462686568,0.006624982924695451,1.0,0.0,1.0,0.0,0.6909090909090909,0.0
quantum,560,False,0.7653529411764706,0.006527556705214608,1.0,0.0,1.0,0.0,0.6964285714285714,0.0
quantum,570,False,0.7687536231884058,0.006432954434124571,1.0,0.0,1.0,0.0,0.7017543859649122,0.0
quantum,580,False,0.7720571428571429,0.006341055085065638,1.0,0.0,1.0,0.0,0.7068965517241379,0.0
quantum,590,False,0.7752676056338028,0.0062517444500647225,1.0,0.0,1.0,0.0,0.711864406779661,0.0
quantum,600,False,0.7783888888888889,0.006164914666036046,1.0,0.0,1.0,0.0,0.7166666666666667,0.0
